I1,I3,I5,I7,I9,I11,I13,I15,I17,I19,I21,I23,I25,I27,I29,Target
0.1148,0.0808,0.0382,0.026,0.0165,0,0.0009,0,0,0,0,0,0,0,0,1
0.1158,0.0801,0.0382,0.0273,0.0158,0.0005,0.0001,0,0,0,0,0,0,0,0,1
0.1133,0.0788,0.0383,0.0256,0.0166,0,0.0004,0.0003,0,0,0,0,0,0,0,1
0.1118,0.0787,0.037,0.0258,0.0162,0.0008,0,0.0004,0,0.0005,0,0,0,0,0,1
0.1132,0.0786,0.0388,0.0254,0.0174,0.0017,0.0011,0,0,0.0014,0,0,0,0,0,1
0.112,0.0786,0.0385,0.0246,0.0184,0.0011,0,0.0009,0.0005,0.0004,0,0,0,0,0,1
0.1121,0.0783,0.0373,0.0253,0.0171,0.0002,0.001,0.0027,0,0.0003,0,0,0,0,0,1
0.1118,0.079,0.0387,0.0257,0.0177,0.0003,0,0.0002,0,0,0,0,0,0,0,1
0.1117,0.0783,0.0384,0.0259,0.0181,0.0016,0.0005,0.0003,0,0.0009,0,0,0,0,0,1
0.1112,0.0795,0.0381,0.027,0.0178,0.0004,0.0008,0.0017,0,0.0021,0,0,0,0,0,1
0.1111,0.0776,0.0391,0.0263,0.018,0.0001,0.0017,0.0019,0,0.0004,0,0,0,0,0,1
0.1087,0.0766,0.038,0.0266,0.0195,0.0026,0.0006,0.0014,0,0.0004,0,0,0,0,0,1
0.1099,0.076,0.0379,0.0257,0.0195,0.0027,0.0004,0.0012,0,0.0013,0,0,0,0,0,1
0.1105,0.0773,0.0383,0.0256,0.0173,0.0015,0.0012,0.0001,0,0.0003,0,0,0,0,0,1
0.1088,0.0781,0.0371,0.0255,0.018,0.0019,0.0008,0.0006,0,0,0,0,0,0,0,1
0.1106,0.0775,0.0385,0.0259,0.0177,0.0017,0,0.0012,0,0.0004,0,0,0,0,0,1
0.1098,0.0773,0.0378,0.026,0.0181,0.003,0,0.0009,0,0.0006,0,0,0,0,0,1
0.1094,0.0768,0.0389,0.0255,0.0187,0.0024,0.0006,0.0014,0,0,0,0,0,0,0,1
0.1074,0.078,0.0384,0.0256,0.0191,0.0033,0.0022,0,0,0.0008,0,0,0,0,0,1
0.1081,0.0758,0.0385,0.0257,0.0184,0.0035,0.0006,0.0009,0,0.0002,0,0,0,0,0,1
0.1081,0.0772,0.0387,0.0255,0.0184,0.0038,0.0009,0.0005,0,0.0006,0,0,0,0,0,1
0.1087,0.0779,0.0384,0.0263,0.0186,0.0033,0.0011,0.0015,0,0,0,0,0,0,0,1
0.1078,0.0782,0.0385,0.0253,0.019,0.003,0.001,0.0012,0,0.0007,0,0,0,0,0,1
0.1093,0.0769,0.0391,0.0269,0.0204,0.0034,0,0,0,0.0006,0,0,0,0,0,1
0.1096,0.0773,0.0383,0.0255,0.0191,0.0044,0,0.0006,0,0.0001,0,0,0,0,0,1
0.1076,0.0767,0.04,0.0264,0.0211,0.0043,0,0.0004,0,0,0,0,0,0,0,1
0.1088,0.0765,0.0378,0.0241,0.0193,0.004,0,0.0012,0,0.0008,0,0,0,0,0,1
0.1087,0.0777,0.0364,0.0271,0.02,0.0031,0,0.0007,0,0,0,0,0,0,0,1
0.1064,0.0761,0.0389,0.0264,0.0187,0.0034,0,0.0008,0,0,0,0,0,0,0,1
0.109,0.0756,0.0355,0.0238,0.0162,0.0014,0,0,0,0,0,0,0,0,0,1
0.1081,0.0753,0.0375,0.0252,0.016,0.003,0,0,0,0,0,0,0,0,0,1
0.1074,0.0761,0.038,0.0258,0.0174,0.0019,0,0,0,0,0,0,0,0,0,1
0.1076,0.0758,0.0395,0.0273,0.0202,0.0041,0,0,0,0,0,0,0,0,0,1
0.1077,0.075,0.0382,0.0254,0.0187,0.0026,0,0.0006,0,0,0,0,0,0,0,1
0.1072,0.0772,0.0375,0.0251,0.0179,0.002,0,0,0,0,0,0,0,0,0,1
0.1081,0.0767,0.0383,0.0246,0.0178,0.0019,0,0,0,0,0,0,0,0,0,1
0.1079,0.0768,0.0384,0.025,0.0168,0.002,0,0,0,0,0,0,0,0,0,1
0.1082,0.079,0.0379,0.0245,0.0187,0.0017,0,0,0,0,0,0,0,0,0,1
0.109,0.076,0.0377,0.026,0.0199,0.0026,0,0.0018,0,0.0007,0,0,0,0,0,1
0.1086,0.0756,0.0391,0.0261,0.0179,0.004,0,0.0002,0,0.0005,0,0,0,0,0,1
0.1068,0.0769,0.0369,0.0252,0.0185,0.0013,0.0002,0.0003,0,0,0,0,0,0,0,1
0.1093,0.077,0.0384,0.0233,0.017,0.0027,0.0002,0,0,0,0,0,0,0,0,1
0.1078,0.077,0.0372,0.0248,0.0172,0.0019,0,0.0005,0,0.0004,0,0,0,0,0,1
0.1088,0.0768,0.0384,0.0257,0.017,0.0028,0,0,0,0,0,0,0,0,0,1
0.1092,0.0768,0.0378,0.0262,0.019,0.0025,0,0,0,0,0,0,0,0,0,1
0.1077,0.0765,0.0375,0.0255,0.0176,0.0015,0,0.0002,0,0.0006,0,0,0,0,0,1
0.1091,0.0782,0.0382,0.0252,0.0173,0.0023,0,0,0,0,0,0,0,0,0,1
0.1081,0.0773,0.0377,0.025,0.0178,0.0012,0,0,0,0,0,0,0,0,0,1
0.1081,0.0767,0.0375,0.0241,0.0167,0.001,0,0,0,0,0,0,0,0,0,1
0.1083,0.0776,0.0375,0.0247,0.0167,0.0023,0,0,0,0,0,0,0,0,0,1
0.1087,0.076,0.0365,0.0256,0.0178,0.0012,0,0,0,0,0,0,0,0,0,1
0.1081,0.0765,0.0363,0.0238,0.0181,0.0023,0,0.001,0,0,0,0,0,0,0,1
0.1084,0.0755,0.0364,0.0254,0.0172,0.0019,0,0,0,0,0,0,0,0,0,1
0.1078,0.0764,0.0377,0.024,0.019,0.0025,0,0,0,0,0,0,0,0,0,1
0.1078,0.076,0.0378,0.0239,0.0181,0.0016,0,0,0,0,0,0,0,0,0,1
0.1088,0.0756,0.0361,0.024,0.0173,0.0018,0,0.0001,0,0,0,0,0,0,0,1
0.1077,0.0769,0.0369,0.0245,0.0175,0.0023,0,0.0011,0,0,0,0,0,0,0,1
0.1092,0.0773,0.0386,0.0263,0.0186,0.0024,0,0,0,0,0,0,0,0,0,1
